Question,Answer,,,,,,
Does Shoonya provide advisory services or tips?,"No, we do not provide tips and advice for trading.

",,,,,,
What are Cover order and Bracket order?,"Cover order - Order for intraday trading where a SL order is placed parallel to the main order. This Stop Loss Order cannot be canceled. Since the Stop Loss Order is being placed simultaneously while getting into the contract, the risk that is being taken automatically reduces.

Bracket Order-It is a 2 leg order for intra-day trading. Both SL and TP are placed parallel with the main order. If any of the SL / TP orders is executed, then the other order is auto-canceled.

There are no charges for bracket orders and cover orders in Shoonya.
",,,,,,
How to check stock purchase price?,"Once you have bought the shares then their purchasing value or price will reflect in your trading platform, contract note, and in the back office.
",,,,,,
What is BTST?,"BTST (Buy Today, Sell Tomorrow)

In a normal equity delivery trade (buy/sell of stocks using CNC order), the transaction is complete in T+2 days, where T is the trading day. The buyer gets shares in his Demat account, and the seller gets money in T+2 days. So, if you buy some company shares on Tuesday, the shares will be credited to your Demat account on Thursday. While counting T+2 days, holidays in exchanges are excluded. So, if there's a holiday in between, the delivery period is extended.

What if you got an opportunity to book the profits or losses between those 2 days? You cannot take this opportunity as it's a normal order. This may result in losses for the trader.

BTST solves this problem of traders by allowing them to buy or sell their securities before they are credited to their Demat account. This helps traders to benefit from short-term volatility in the price of the stocks.

Shoonya provides a BTST facility. 


",,,,,,
What is an Option Chain?,"An options chain is a table displaying options quotes for a particular underlying security. The options chain matrix is updated in real-time showing the last price, trading volume, and best bid and offer for the calls and puts of an options series, typically segmented by expiration date.

An option's strike price is also listed, which is the stock price at which the investor buys the stock if the option is exercised.

",,,,,,
What is the difference between CE and PE?,"CE and PE stand for “Call option” and “Put option” in the stock market which is the derivative contract that gives its owner the right and not the obligation to buy or sell an underlying asset at an agreed-upon price within a certain time period.

Call option offers its holder or the buyer the “right to buy” a particular asset at the agreed-upon price i.e. the strike price on or before the expiration date in return for a premium paid to the seller or the writer of the option contract.

Put option offers its holder or the buyer the “right to sell” a particular asset at the agreed-upon price i.e. the strike price on or before the expiration date in return for a premium paid to the seller or the writer of the option contract.",,,,,,
What is the difference between futures and cash markets?,"FUTURE MARKET - A future market is a place where only futures contracts are bought and sold at an agreed date in the future and at a predefined price. You can never be a shareholder when you trade in Futures. No delivery takes place as the Future contract expires on the expiration date. Only margin money required to be paid for initiating the Future contract. One has to buy a minimum lot size which is already defined. Such as in the case of NIFTY lot size is 75. In futures, you have to settle the contract on the expiration date i.e. maximum of three months.
In a future contract, you are not entitled to any dividend

Can be a shareholder for F&o stocks like reliance, Bhel, etc, only non-deliverable contracts are of an index like nifty.
CASH MARKET

A cash market is a marketplace in which securities purchased are paid for and received at the point of sale. For example, a stock exchange is a cash market because investors receive shares immediately in exchange for cash.
Demat settlement of T+2 days takes place on account for bought holding and client become a shareholder of a stock company. It is done on T+2 days.
The full amount needs to be paid at the time of buying shares in cash. One can buy even a single share of a company.  ",,,,,,
What is GTT order?,"GTT (Good till triggered) is a feature that allows you to set a trigger price, such that if your trigger price is hit on a future date, a limit order will be placed on the exchange as per the limit price and preset conditions set by you.

GTT is available for Shoonya for all the segments. If wants to palace sell GTT order then the account needs to be linked with POA first. The validity of GTT is up to 1 year.
Is It Useful?
GTT orders make your trading/investing experience more convenient. Here’s how they prove beneficial:
You do not need to log in every day to place a limit order during the trading session.
You have more flexibility in terms of placing an order with a longer horizon in mind.
Your monitoring efforts are reduced. If you are an investor who is looking to sell/buy a desired quantity of shares at the desired price within a custom time frame, without half the effort – GTT is your best bet.",,,,,,
What is dividend?,"Shareholders earn returns on their investment in equity in two ways; the first being capital appreciation and the second by receiving dividends that companies pay to their shareholders.
A dividend is a payment made by a corporation to its shareholders. If you’re a shareholder, you can think of a dividend as your share of the company’s profits.

You will be eligible for dividends If you’ve purchased the stocks before the ex-date. If you've purchased the shares on or after the ex-date, you will not be eligible for the dividend.

These payments are usually made in cash which is known as a cash dividend but in some cases, they may choose to make these payouts in the form of stocks too which is known as a stock dividend. The client will get dividends in his linked bank account with the Demat account. 

The dividend yield is often an essential factor for investors when choosing which stocks to invest in. The dividend yield is calculated on the current share price.
Example: If ABC Ltd declares a dividend of Rs.5/share and the market value of the share is Rs.250 then:
Dividend Yield = Full-year Dividend/Current Share Price
In this case it is: 5/250 = 0.02 or 2%  ",,,,,,
How many GTT orders can I place for one account?,There is no limit to place GTT orders but it will check the margin available when the price triggers.,,,,,,
What is an Exchange Traded Fund (ETF)?,"An exchange-traded fund (ETF) is a type of security that tracks an index, sector, commodity, or other assets, but which can be purchased or sold on a stock exchange the same as a regular stock. ETF share prices fluctuate all day as the ETF is bought and sold; this is different from mutual funds that only trade once a day after the market closes. ETFs offer low expense ratios than buying the stocks individually.

An ETF (Exchange-traded fund) is a basket of securities that tracks an underlying index. For example, a Nifty 50 ETF tracks the composition of the Nifty 50 Index. When you buy a Nifty ETF, you are getting exposure to the 50 stocks that form the Index.
",,,,,,
What are OTM options?,"""Out of the money"" (OTM) is an expression used to describe an option contract that only contains an extrinsic value. These options will have a delta of less than 50.0. An OTM call option will have a strike price that is higher than the market price of the underlying asset. Alternatively, an OTM put option has a strike price that is lower than the market price of the underlying asset.

OTM options have less extrinsic (time) value than ITM options, which in turn makes them more desirable to traders with smaller amounts of capital. OTM options are more commonly traded for strategies such as covered calls or protective puts.

You can trade in OTM options with Shoonya (3 months contracts). There are no restrictions on the trading of OTM options with us. 

",,,,,,
What is Short selling?,"Short selling is the selling of a stock that the seller doesn't own. More specifically, a short sale is the sale of a security that isn't owned by the seller, but that is promised to be delivered. Short selling is an investment or trading strategy that speculates on the decline in a stock or other security's price.

You can short sell in equity (Intraday only) & derivatives (Intraday & carry both). ",,,,,,
What happens when I dont squared off my short position?,"In case your Intraday Equity short position is not squared off due to the absence of buyers or failed due to any reasons. This will be considered as short delivery, which means the seller of the shares has defaulted on the settlement of shares hence the exchange participates in the auction market on T+2 days. The exchange holds an auction for the same quantity of shares & delivers it to the buyer.

The settlement of the auction shall be done on T+3 day (where T is the transaction day, holidays are not included).

Short delivery can happen in stocks with less liquidity or if an Intraday Equity position hasn’t been squared off in some circumstances. As a result, appropriate margins would be blocked in your account. The blocked amount will be released once the auction settlement process is completed on T+3.",,,,,,
What is OFS and how we can apply for the same?,"A private company launches an Initial Public Offering (IPO) for additional funding. The company sells shares to outside investors to access funds for various purposes. This includes the growth and expansion of the company. 

However, the company’s financial problems do not end with an IPO. Sometimes, a company may need additional capital to meet its goals. That’s the time such companies can opt to go for an Offer for Sale (OFS).

An offer for sale (OFS) is a mechanism that allows promoters to reduce their holdings in listed companies transparently. These shares sold by the promoters are offered for sale directly to the public through a bidding process.

The client can place an OFS order from 9.15 am to 3 pm.

All you need just to do is mail us at clientsupport@shoonya.com or raise a ticket from the PRISM portal with the specified details of the OFS you want to purchase, like the name of the script, price, and quantity with your assigned client code.

As per SEBI OFS guidelines, all investor bids must be backed by a 100% cash upfront margin. Else the bids would be rejected due to insufficient collateral.",,,,,,
When should the client need to square off to avoid physical delivery in all segments?,"You can square off your FNO positions before market close on expiry day.In MCX and NCDEX you need to squared-off your positions one day before the Tender Period. You can check the Tender period of all commodities from the MCX website.

  ",,,,,,
What will happen if I forget to square off the position before expiry contract?,"It will settle according to the closing price in cash.

",,,,,,
What will happen if any stock reaches its upper or lower limit?,"In case of short selling If the stock is in the upper circuit, it will go in Auction and settled by the exchange on T+2 days. and in case of buy position it will go to your holdings.",,,,,,
Can the client do buy and sell if stock is in the upper or lower circuit limit?,"No, you cannot trade in case stock is in upper or lower circuit limit.You can only make a bid and wait for buyers/sellers.",,,,,,
"How many months future and option contracts are allowed for trading in NFO, CDS and MCX with Finvasia?","Equity Futures & Options - 3 Months contracts

MCX - Current 2 contracts

CDS - 3 Months contracts",,,,,,
Is STBT is allowed with Finvasia?,No STBT (Sell today buy tomorrow) is not available in equity cash segment.,,,,,,
Do we allow trading in ASM and GSM shares?,"We only Allow buying and selling in CNC in ASM stocks. Currently, you cannot trade in GSM category shares. You can sell your existing holdings in the GSM category.",,,,,,
In which segments bracket order and cover order are allowed?,"Bracket order and Cover order are available in the following segments: 

NSE/BSE Cash in EQ series.

Future stocks - in the current month's contract.

Future index: - In the current month's contract.

CDS --In USDINR only.

MCX Futures in current month contracts except for Agri Commodities.

CO & BO are not available in options and all CDS currency pairs except USDINR.",,,,,,
"Is Bracket order or Cover order allowed on AMO orders on web, mobile and exe?","No Bracket order and cover order are available for Intraday trades only.

",,,,,,
What is multi-leg order and how it can be placed?,"A multi-leg options order is an order to simultaneously buy and sell options with more than one strike price, expiration date or sensitivity to the underlying asset's price. Basically a multi-leg options order refers to any trade that involves two or more options that are completed at once.

You need to go to Trade --- Multileg order in Shoonya Exe.",,,,,,
What are the benefits of multi-leg order?,A multi-leg option order submits both legs of the trade simultaneously making execution much smoother for the options trader. Moreover having both orders go in at the same time removes some of the latency risk and time lag of entering multiple option positions manually.,,,,,,
When can trade to trade shares are allowed to buy and sell?,Client can buy anytime in the market and can sell after t+2 days only. The client is not permitted to do intraday trading or BTST.,,,,,,
Where can we find the stock category and leverage details?,"You can check the stock category and leverage details from our margin calculator. Please find below link:

https://www.finvasia.com/calculators",,,,,,
How many far ITM and OTM expiries or contracts are allowed for trading?,"You can trade at all the available strike prices including ITM & OTM in 3 months Futures & Options contracts. There are no restrictions on any strike price from our side.
",,,,,,
In which currency pair I can use Bracket order?,Bracket order is available in USDINR currency pair only.,,,,,,
How to Place a GTT order?,"GTT(Good till triggered) is a feature that allows you to set a trigger price, such that if your trigger price is hit on a future date, a limit order will be placed on the exchange as per the limit price and preset conditions set by you.

Please find below a youtube video of “How to place GTT order on Shoonya Mobile” -

https://www.youtube.com/watch?v=wAZ2vc-LIEA",,,,,,
What is a Stop Loss order?,"A stop-loss order is a buy/sell order placed to limit the losses when you fear that the prices may move against your trade. For instance, if you have bought a stock at Rs 50 and you want to limit the loss to 45, you can place an order in the system to sell the stock as soon as the stock comes to 45. Such an order is called 'Stop Loss'.

There are 2 types of Stop-Loss orders:

1. SL order (Stop-Loss Limit) = Price + Trigger Price

2. SL-M order (Stop-Loss Market) = Only Trigger Price

--if you have a buy position, then you will keep a sell SL

--if you have a sell position, then you will keep a buy SL
",,,,,,
What is Spread order?,"A spread is defined as the sale of one or more futures contracts and the purchase of one or more offsetting futures contracts. A spread tracks the difference between the price of whatever it is you are long and whatever it is you are short. The steps are below:

1. Trade Menu and Select Spread Buy Order Entry

2. Select Exchange, Instrument, Symbol, Sell Expiry, Buy Expiry, and Qty.

3. Click on Submit",,,,,,
Will I get my dividend in the bank account or trading account?,You will get your dividend in your bank account which is linked to your Demat account.,,,,,,
Why POA is required for GTT selling orders?,"You can sell your holdings through POA or eDIS. When you sell your holdings through eDIS you need to pre-authorize it through T-PIN and OTP. As GTT is valid for 1 year, so we dont know on which date the order will be executed. So POA is mandatory for GTT to sell orders (Equity delivery only).
  ",,,,,,
What are bonus shares?,"Bonus shares are the additional shares that a company gives to its existing shareholders on the basis of shares owned by them. Bonus shares are issued to the shareholders without any additional cost.

Bonus shares are issued by a company when it is not able to pay a dividend to its shareholders due to a shortage of funds in spite of earning good profits for that quarter. In such a situation, the company issues bonus shares to its existing shareholders instead of paying dividends.",,,,,,
What will happen if I sell my stock holding before getting the bonus shares?,"Record date is a cut-off date set by the company. If you are the owner of the shares of the company on this cut-off date then you are eligible to receive the bonus shares. If you sell your holding after the cut-off date, you will still get the bonus shares.",,,,,,
When will I be eligible to get the bonus shares?,All existing shareholders before the ex-date and record date are eligible to receive bonus shares issued by a company.,,,,,,
What is a rights issue?,"In a rights issue, a company gives you the right to apply for additional shares based on the number of shares already held by you. The company may issue these shares either to fund a new project, reduce debt, or restructure its equity capital base. The Rights Issue shares will be available at a discount to the market price, almost like an open privilege to all the shareholders of the stock.",,,,,,
How to apply in rights issues?,"The process of applying for a rights issue is through ASBA (Applications Supported by Blocked Amount). If your bank supports it, you can apply online just like an IPO.",,,,,,
What is right entitlement?,"A right , is issued by a company to its shareholders on a pre-determined date called the record date. Rights entitlements are offered to shareholders as a ratio to the number of securities held on this record date.",,,,,,
What is a stock split?,"A stock split is a corporate action in which a company divides its existing shares into multiple shares. Basically, companies choose to split their shares so they can lower the trading price of their stock to a range deemed comfortable by most investors and increase the liquidity of the shares.

The most common split ratios are 2-for-1 or 3-for-1 (sometimes denoted as 2:1 or 3:1), which means that the stockholder will have two or three shares after the split take place, respectively, for every share held prior to the split.",,,,,,
"What is the auction, how it occurs?","An auction is a mechanism where the exchange auctions the investor's stock holding when the person had sold the stock but is unable to deliver it within a stipulated time period. The exchange conducts an auction on T+2 day and on behalf of the defaulting seller, it purchases back the stock from the Auction Participant.

In most cases, if you short sell equity shares intraday and you can not sell it due to upper freeze, shares will go to auction.",,,,,,
What is disclose quantity? How it is beneficial for the client?,"In normal orders, the entire order quantity is disclosed to the market. But order with a disclosed quantity allows the investor to disclose only a part of the order to the market. The disclosed quantity, if entered should not be greater than or equal to the order quantity and should also not be less than 10% of the order quantity. 

Disclosed quantity can’t be used when trading futures & options.

For example, Mr. XYZ wants to buy 150000 shares of a stock at the prevailing market price. If he does not want to disclose his order size to the market, he can set the disclosed quantity to 1000. As soon as his 1000 shares are executed, the next order will automatically be sent to the market. This process repeats until he has purchased 150000 shares.
",,,,,,
"I have applied for IPO, how can I check my allotment status?","You can check IPO allotment status from BSE or the registrar’s website.

Please find below link to the BSE website:

https://www.bseindia.com/investors/appli_check.aspx


As an alternative, bidders can check their application status at the registrar's website too.



After 24 hours of allotment, shares will be credited to your Demat account. You can also check it in your holdings. 

",,,,,,
How to cancel an AMO order?,"You can cancel AMO orders from the “Order book”.

-Go to “Order book”

-Choose the order and hit the cancel button.",,,,,,
What does Jobbing meaning?,Jobbing is like the buying and selling of shares or securities especially on small scale with the intention of generating short-term or quick profit. The act or practice of buying stocks only to resell them at a profit very quickly. Jobbing is to trade with the trend of the market. The entire trading takes place on the basis of the movement of the market.,,,,,,
Can I place a GTT order using call & trade?,"Yes, you can place GTT orders using Call and Trade facility.",,,,,,
In which segments bracket order and cover order are allowed?,"According to the regulations laid out by the Securities and Exchange Board of India (SEBI), you can only trade and invest in shares that are in the dematerialized format. If you’re holding physical share certificates, you’re required to first convert them into an electronic format before you can sell or transfer the shares. The process of converting the physical shares of a company into an electronic form is commonly known as the dematerialization.

Steps to convert physical shares into Demat:

1. Open a Demat account with Finvasia?

2. Raise a request for dematerialization of shares. You can raise a ticket in PRISM or email us at clientsupport@finvasia.in

3. You will get Dematerialization Request Form (DRF) from us.?

4. Fill up the DRF with all the required details and affix your signature. Courier the duly filled form along with your physical share certificates to our corporate address.?

5. Finvasia will process your request once we receive the DRF along with the share certificates.?

6. A dematerialization request will be sent by Finvasia to the company’s appointed Registrar and Share Transfer Agent (RTA).?

7. Once the dematerialization request is approved, your physical share certificates are destroyed and your demat account gets credited with the relevant number of shares.",,,,,,
How to cancel an open GTT order?,"You can cancel it from the Order book.

Go to Order book – GTT --- Select your GTT open orders and cancel.",,,,,,
How is realized and unrealized profit calculated on Shoonya?,"If you square-off a trade, the P&L will show up as realized profit on Shoonya. This only includes your closed F&O and intraday equity positions.

If you square-off a CNC trade during the day, it will not affect the realized profit. However, the P&L from the CNC trade you have squared-off intraday will be included in the available margin on Shoonya.?

The marked to the market Profit/loss for your open F&O and intraday equity positions will show up as unrealized profit on Shoonya.?

Note: The realized and unrealized profits will be negative in case of losses.",,,,,,
What is the square-off timing on the expiry day??,"Please do check segment-wise square off timings on expiry day below:?

-Equity CASH -- 3:20 PM

-NSE Futures & Options Indices -- 3:25 PM

-NSE Futures & Options stocks -- 2 PM (We will square off all “in the money” options by 2 PM in case the full margin of the contract is not available)

-MCX (MAR TO NOV) -- 11:15 PM (On tender period date)

-MCX (DEC TO FAB) 11:40 PM -- (On tender period date)



In CDS (Currency derivatives segment): There is no squared off in CDS, it will be settled by the exchange itself.

CDS -- 12.30 PM

CDS cross-currency -- 12.30 PM?",,,,,,
Where can I get a list of trade to trade share?,"Please find the below link of trade to trade shares list:

https://docs.google.com/spreadsheets/d/1CYq01IwKBNt3gpMsa1ZleqZNbhYRapXR8CIhXPjUcp8/edit#gid=0",,,,,,
How to enable Shoonya beta version for trading?,"Please find below steps to enable Shoonya Beta:

1. Log in to your PRISM portal.

2. Go to ""Services"" and raise ticket in ""Others"".

3. Add remarks in the ticket ""Please enable new Shoonya beta version for trading"". If you are an IOS user please mention your Apple id in the same ticket. You will receive the IOS mobile app link within 48 hours.

4. Your trading account in the old Shoonya App shall be disabled after market hours on the requested day.

5. Request received after 5 PM shall be processed on the next working day.

6. Once enabled, you shall receive the login credentials on your registered email.

7. Subsequently, on the next working day, you shall be able to trade on the Shoonya Beta version app and your old App shall be disabled for trading.

8. You will be able to see all your open positions, holdings, and funds in the Shoonya beta App.



Shoonya Beta version links are available under Trading Platforms & Tools at https://www.finvasia.com/download",,,,,,
"Where can I check the list of NSE, BSE and MCX Trading holidays?","Here’s the trading/stock market holiday calendar for 2022: - 
NSE/BSE Holidays
Holidays
Date
Date
Republic Day
January 26, 2022
Wednesday
Mahashivratri
March 01, 2022
Tuesday
Holi
March 18, 2022
Friday
Mahavir Jayanti / Ambedkar Jayanti
April 14, 2022
Thursday
Good Friday
April 15, 2022
Friday
Id-Ul-Fitr (Ramzan Id)
May 03, 2022
Tuesday
Muharram
August 09, 2022Tuesday
Independence Day
August 15, 2022
Monday
Ganesh Chaturthi
August 31, 2022
Wednesday
Dussehra
October 05, 2022
Wednesday
Diwali * Laxmi Pujan
October 24, 2022
Monday
Diwali Balipratipada
October 26, 2022
Wednesday
Gurunanak Jayanti
November 08, 2022
Tuesday
MCX Holidays
Holidays
Date
Date
Morning Session
Evening Session
Republic Day
January 26, 2022
Closed
Closed
Mahashivratri
March 01, 2022
Tuesday
Closed
Open
Holi
March 18, 2022
Friday
Closed
Open
Mahavir Jayanti / Ambedkar Jayanti
April 14, 2022
Thursday
Closed
Open
Good Friday
April 15, 2022
Friday
Closed
Closed
Ramzan Id (Id-Ul-Fitr)
May 03, 2022
Tuesday
Closed
Open
Moharram
August 09, 2022
Tuesday
Closed
Open
Independence Day
August 15, 2022
Monday
Closed
Closed
Ganesh Chaturthi
August 31, 2022
Wednesday
Closed
Open
Dassera
October 05, 2022
Wednesday
Closed
Open
Diwali–Laxmi Pujan*
October 24, 2022
Monday
Closed
Open
Diwali Balipratipada
October 26, 2022
Wednesday
Closed
Open
Gurunanak Jayanti
November 08, 2022
Tuesday
Closed
Opening 
Trending Holidays on Saturday/Sunday (NSE/BSE/MCX)
Holidays
Date
Date
Ram Navami
April 10, 2022
Sunday
Maharashtra Day
May 01, 2022
Sunday
Bakri Id
July 10, 2022
Sunday
Mahatma Gandhi Jayanti
October 02, 2022
Sunday
Christmas
December 25, 2022
Sunday
Note:-
-Muhurat Trading will be held on Monday, October 24, 2022. Timings for Muhurat Trading will be notified by the exchange subsequently.
-Morning session – 10:00 AM to 05:00 PM 
-Evening session – 05:00 PM to 11:30/11:55 PM  ",,,,,,
How to revoke or cancel the POA?,"Please find below steps to revoke or cancel POA: 

1. Download the POA revocation form from the below link. 

REVOCATION OF POA NEW.pdf

2. Fill up the form and do signatures on the required places. 

3. Send the physical form to our corporate address: 

Finvasia Center, # D179, Phase 8B Industrial Area (Sector-74) SAS Nagar Mohali, Punjab India 160055",,,,,,
What is AMO in basket order?,"AMO is After Market Order which helps you to place an order beyond the regular trading hours. So you can use the AMO option in basket order also, where you can place multiple orders at one time.
",,,,,,
What is ASBA?,"Application Supported by Blocked Amount (ASBA) is an IPO application process developed by SEBI. It is an application containing authorization to block the application money in the bank account, for subscribing to an IPO issue. You cannot use the blocked amount for any purpose.

This facility is used if you are applying for IPO through your internet banking.
With Finvasia you can apply IPOs through our Shoonya platform via UPI only.",,,,,,
Are there any charges to apply for an IPO?,"No, there are no charges for applying IPOs with Finvasia.",,,,,,
What are Government Securities?,"Government securities are government debt issuances used to fund daily operations, and special infrastructure and military projects. They guarantee the full repayment of invested principal at the maturity of the security and often pay periodic coupons or interest payments. Since the Government of India backs these, these are virtually risk-free investments.

G-Secs with a maturity of less than 1 year are called T-Bills (Treasury bills) and those greater than 1 year are called Bonds.",,,,,,
What will happen to trades and investments if PAN and Aadhaar are not linked?,"Restrictions on Trading and Investment if PAN and Aadhaar Cards are Not Linked
Restrictions if the PAN & Aadhar cards are not Linked.

As per the directives issued under the Exchange Circular No. NSE/ISC/56173, it is mandatory to link your PAN with your Aadhaar Card. In case of failure to link your PAN and Aadhaar card can result in restrictions on buying and selling on these exchanges and the freezing of your Demat Account at CDSL.

Duration of the Restrictions: The restrictions have been in place since July 10th, 2023. Thus, clients who have not linked their Aadhaar to their PAN will not be able to trade or invest in any segments after June 30, 2023, including existing open positions or holdings.

How long does updating the status when PAN is linked to Aadhaar usually take? 
To ensure that you can start trading, the exchanges (NSE, BSE & MCX) and the depository (CDSL) must mark your PAN and Aadhaar as operative in their records. The updating process typically takes up to 30 working days for each entity, as they rely on external sources for verification. 

Here are some links for your reference in case you have not linked your PAN Card to your Aadhaar. 
-To link PAN with Aadhaar, visit https://eportal.incometax.gov.in/iec/foservices/#/pre-login/bl-link-aadhaar and follow the on-screen instructions.

- Step-by-step guide to link your PAN with Aadhaar: https://blog.shoonya.com/why-linking-aadhaar-card-with-pan-is-mandatory-for-investors/

-To check PAN Aadhaar linking status, visit https://eportal.incometax.gov.in/iec/foservices/#/pre-login/link-aadhaar-status

Exemptions for Aadhaar PAN Linking: 
The following categories of clients are exempted from linking their Aadhaar with PAN:

            1. NRIs

            2. Individuals who are not citizens of India.

            3. Individuals above the age of 80 years.

            4. Individuals residing in the states of Assam, Meghalaya, or Jammu & Kashmir.

Circular Links: For more detailed information, you can refer to the circulars provided by NSE, BSE, and MCX:

1. NSE Circular: https://archives.nseindia.com/content/circulars/ISC57051.pdf

2. BSE Circular: https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20230626-2

3. MCX Circular: https://www.mcxindia.com/docs/default-source/circulars/english/2023/june/circular-414-2023.pdf?sfvrsn=5e1eaa91_0

 

PLEASE NOTE

If you have successfully linked your PAN and Aadhaar before the June 30th, 2023, deadline but are facing difficulties in trading or have a frozen demat account, please submit a ticket through Prism - https://prism.shoonya.com/
We will promptly escalate these cases to the exchanges and depository for necessary action to be taken.

",,,,,,
"What is the Grievance redressal policy of Shoonya by Finvasia?
","If you have any grievances with us, you can contact us to register a complaint through the means mentioned below -

1. Contact us

i) Support tickets: You can create a ticket on our PRISM Portal- https://prism.shoonya.com/

Please note that reaching out to us by creating a ticket will allow us to respond to your query faster and more efficiently than by way of an Email.

ii) Phone: You can call our dedicated support lines on +91 1726 750 000 / +91 1724 740 000 between 09.00 AM to 6:30 PM, Monday to Friday and between 10:00 AM to 05:00 PM on Saturdays, except public holidays.

iii) Email: For any grievances related to your trades/investments, please write to us at clientsupport@shoonya.com

iv) LiveChat - You can contact us through LiveChat from our website - https://shoonya.com/

2. Escalation matrix - If you are still waiting to receive a response within 14 days of receipt of the complaint by us, or if you are dissatisfied with the response received, you may escalate the complaint to the next level, as indicated below.

https://shoonya.com/contact-us

3. Complaint to Regulators - In the absence of a response/complaint not addressed to your satisfaction, You can also file a complaint with the appropriate regulators -

SEBI- https://scores.gov.in/scores/Welcome.html

4. ODR Portal - SEBI has set up this platform to improve investors’ grievance redressal by providing them access to Online Dispute Resolution Institutions to resolve their complaints. If you do not find a satisfactory resolution from the broker, you may raise a dispute on the ODR Portal.

However, you can also initiate dispute resolution through the ODR Portal without going through SCORES Portal if the grievance lodged with the concerned Market Participant still needs to be resolved satisfactorily. To access the ODR Portal, please find the below link - https://smartodr.in/intermediary/disputes


  
",,,,,,
How to track complaints or tickets at Shoonya by Finvasia?,"Shoonya account holders can track complaints or tickets in PRISM by following these steps:

1. Log in to your prism portal: - https://prism.shoonya.com/

2. Click on the Services icon in the left sidebar.

3. Click on Open Request. 

4. Click on the ticket that you want to track.

5. The ticket status will be displayed there. You can also add your remarks, if any.

Please note - Shoonya sends an email when a ticket is created and closed.",,,,,,
When are funds unblocked if the IPO was not allotted?,"Funds are typically unblocked after the allotment of shares. If your IPO application was not allotted any shares, the timing for unblocking your funds typically follows a specific schedule. It's important to be aware of the key dates and steps involved in this process:

For instance, let us take the example of Ratnaveer Precision Engineering IPO, which has an opening date of September 4, 2023. In this case, if your application is not allotted any shares, your funds will follow this schedule:

1. IPO Opening Date (Monday, September 4th, 2023): The opening day is when you can start submitting your IPO application.

2. Close Date (Wednesday, September 6, 2023): This is the last day for submitting your IPO application.

3. Cut-off time for UPI mandate confirmation (5 PM on September 6, 2023): It's important to note that certain banks might unblock the funds only after the mandate end date, which, in this case, is 5 PM on September 6, 2023. This is the date when the UPI mandate for your IPO application ends.

4. Basis of Allotment (Monday, September 7th, 2023): After the IPO closes, the basis of allotment is determined. This process involves allocating shares to investors based on various factors, including the number of shares applied for and the demand for the IPO.

5. Initiation of Refunds (Tuesday, September 8th, 2023): If your IPO application was not allotted any shares, the initiation of refunds to your bank account begins on this date. The funds you had blocked for your application will start becoming available.

6. The credit of Shares to Demat (Wednesday, September 8th, 2023): If you were allotted shares in the IPO, they would be credited to your demat account on this date.

7. Listing Date (Thursday, September 11, 2023): The IPO shares of Ratnaveer Precision Engineering will be officially listed and available for trading on this date.

So, in this case, if you didn't receive any allotment in the Ratnaveer Precision Engineering IPO, you can expect your funds to start getting unblocked after the initiation of refunds on September 8, 2023, or till the date of listing, depending on your bank's policies.

",,,,,,
How to log into Shoonya web?,"To access the web terminal, visit the below link- 

https://trade.shoonya.com/

-Enter your Client Code under ""Enter User ID"" 

-Enter your login Password

-Enter Pan Number or Date of Birth 

-Click on Login

Note: You can also follow forgot password link in case you forget your login password. ",,,,,,
How do I apply studies and tools on charts on Shoonya?,"In Shoonya, you can apply various tools and studies easily to perform better analysis. 

To apply studies, click on the Studies drop-down located on the top right corner of the charting window and search or select one or more of the studies you want to apply on the chart. 

To apply tools, click on the Draw icon placed on the top right of the charting window and select the tool from the drop-down list. To delete a study, either Right-click on the study and select Delete Study or click on the cross icon on the indicator. To remove a tool, simply right-click on the tool.",,,,,,
What kinds of charts are available on Shoonya?,"Shoonya offers multiple chart types to help you make better trading decisions. To switch between different charts, click on the Display Button located on the top of the charting window and select any chart style from the drop-down list.",,,,,,
How to view market Depth on Shoonya?,"To view the Market Depth, click on the Q button under the ""Actions"" column. You will find market depth in the ""Overview"" section.
",,,,,,
How do I change the color theme of the Shoonya platform?,"To change the color theme in Shoonya, click on the Shoonya icon located in the top left corner. You can choose between DAY and NIGHT under Themes.",,,,,,
Where do I view my holdings on Shoonya?,"To view your holdings, select Holdings from the menu located on the far left of the trading platform.",,,,,,
"Where do I see my orders on Shoonya?
","All orders can be seen in the order book. Under Menu, select ""Transactions"" where you will find all your pending and completed orders.",,,,,,
What are the different product types available on Shoonya?,"Product types available in Shoonya are MIS, CNC, Bracket Order, Cover Order.

MIS ORDER: Order for intra-day trading in any segment.

CNC ORDER: An order to carry forward the stock position in the equity segment (holdings) 

MARGIN ORDER: An order to carry forward derivatives positions.  

COVER ORDER: Order for intraday trading where an SL order is placed parallel to the main order. Margin benefit is also provided on this order type. 

BRACKET ORDER: Both SL and TP are placed parallel with the main order. If any one of the SL / TP orders is executed, then the other order is auto-canceled.",,,,,,
How to Buy and Sell on Shoonya Web?,"You can buy or sell by clicking on the B (buy) or S (sell) button next to the scrip name to open the Buy or Sell window respectively. 

Please find below youtube demo videos: 

How to place buy/sell order on Shoonya web ( English ) - https://youtu.be/0nkgvsI3e_8

How to place buy/sell order on Shoonya web ( Hindi ) - https://youtu.be/NqLlkVvAB-U",,,,,,
